node,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decayed wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-oxi bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-red bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccibacilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccoid bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curved rod bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phosphate-red bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanogens,84035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gram-positive anaerobes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycopodiopsida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fern leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycad leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conifer leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginkgo leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm shoots & stems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm seeds & fruits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichen,160155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,425200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulmonate snails,39466,59199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acari,10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneidae,0,223120,423928,527121,181285,11156,0,0,0,0,0,0,0,0,0,0
Pseudoscorpionida,0,131308,308960,366890,125515,7724,0,0,0,0,0,0,0,0,0,0
Diplopoda,71736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collembola,29351,58702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anisoptera,0,133742,306628,314783,106015,6524,0,0,0,0,0,0,0,0,0,0
Blattodea,402220,172380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoptera,458626,65518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phasmatodea,11156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthoptera,193884,1357188,129256,0,0,0,0,0,0,0,0,0,0,0,0,0
Psocodea,32131,96393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera,148136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphidoidea,137748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiptera (other),709140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,388857,1388775,1036952,74068,0,0,0,0,0,0,0,0,0,0,0,0
Diptera,633060,70340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formicidae,130878,107082,11898,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenoptera (other),99864,574218,1106826,507642,33288,0,0,0,0,0,0,0,0,0,0,0
Lepidoptera,606708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basilemys variolosa,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odaxosaurus priscus,0,52624,203632,320320,329472,111540,6864,0,0,0,0,0,0,0,0,0
Orthrioscincus mixtus,0,61204,163592,197912,145288,39468,2288,0,0,0,0,0,0,0,0,0
Teiidae,572,28314,184184,464178,622050,475332,135850,8008,0,0,0,0,0,0,0,0
?Exostinus sp.,0,45760,240240,396396,364364,113828,6864,0,0,0,0,0,0,0,0,0
Varanoidea,18,1314,14373,65979,168858,274050,305955,234675,118296,35721,5391,252,0,0,0,0
Cryodrakon boreas,1,43,595,7931,38566,100926,171067,201616,168461,98917,39365,9791,1282,56,0,0
Orodrominae,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachycephalosauridae,30,240,600,300,20,0,0,0,0,0,0,0,0,0,0,0
Unescoceratops koppelhusae,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithomimidae,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caenagnathus collinsi,16,96,3456,14944,29296,35956,27240,11404,2172,112,0,0,0,0,0,0
Chirostenotes pergracilis,16,128,3804,16036,30820,36988,27516,11420,2172,112,0,0,0,0,0,0
Citipes elegans,40,240,8640,37360,73240,89890,68100,28510,5430,280,0,0,0,0,0,0
cf Richardoestesia spp.,10,460,12300,67700,181860,302550,339830,260750,131440,39690,5990,280,0,0,0,0
cf Paronychodon,8,492,5820,23864,51436,70892,65332,38984,13592,2284,112,0,0,0,0,0
Troodontidae,12,180,4740,22340,50404,70616,65316,38984,13592,2284,112,0,0,0,0,0
Dromaeosauridae,2,196,3544,32790,131134,301324,463118,501644,388404,213654,81126,19694,2564,112,0,0
Hesperonychus elizabethae,28,1260,33180,156380,352828,494312,457212,272888,95144,15988,784,0,0,0,0,0
Ornithurae (large),512,5568,17472,24384,16512,4416,256,0,0,0,0,0,0,0,0,0
Ornithurae (small),992,10788,33852,47244,31992,8556,496,0,0,0,0,0,0,0,0,0
Mesodma primaeva,858,17446,34320,17160,1144,0,0,0,0,0,0,0,0,0,0,0
Multituberculata (other),1716,17446,34320,17160,1144,0,0,0,0,0,0,0,0,0,0,0
Alphadontidae,572,14729,148577,439010,663091,640926,334048,73645,4004,0,0,0,0,0,0,0
Pediomys spp.,1144,23738,79508,106678,109538,37180,2288,0,0,0,0,0,0,0,0,0
Stagodontidae,315,9261,82089,284445,513387,591003,433881,179865,34209,1764,0,0,0,0,0,0
Gypsonictops lewisi,572,21164,54340,55198,18590,1144,0,0,0,0,0,0,0,0,0,0
Eutheria (other),858,29744,80938,98956,72644,19734,1144,0,0,0,0,0,0,0,0,0
Euoplocephalus tutus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodosauridae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lambeosaurinae,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Lambeosaurinae,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurolophinae,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Saurolophinae,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrosaurinae,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Centrosaurinae,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasmosaurinae,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Chasmosaurinae,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosauridae,1,101,564,10572,69300,236954,516621,788272,878444,725542,443280,197145,61511,12467,1394,56
J Tyrannosauridae,1,62,772,12855,69742,198833,365961,472639,441626,300458,147362,50410,11129,1338,56,0
Y Tyrannosauridae,5,240,6795,50940,178210,371345,518040,504295,340725,154000,42825,6130,280,0,0,0
