node,1,2,3,4,5,6,7,8,9,10,11,12,13
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrion,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant juices,0,0,0,0,0,0,0,0,0,0,0,0,0
Grains and seeds,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruits and nectar,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass and herbs,0,0,0,0,0,0,0,0,0,0,0,0,0
Trees and shrubs,0,0,0,0,0,0,0,0,0,0,0,0,0
Roots and tubers,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,41156,0,0,0,0,0,0,0,0,0,0,0,0
Demospongiae,30,30,0,0,0,0,0,0,0,0,0,0,0
Medusozoa,0,8,0,0,0,0,0,0,0,0,0,0,0
Asperitas trochus,10,10,0,0,0,0,0,0,0,0,0,0,0
Bivalvia,14,14,0,0,0,0,0,0,0,0,0,0,0
Branchiopoda,17688,0,0,0,0,0,0,0,0,0,0,0,0
Diplopoda,114,0,0,0,0,0,0,0,0,0,0,0,0
Odonata,0,100333,57663,77697,76154,36524,1320,0,0,0,0,0,0
Gastrimargus lumbokensis,30968,0,0,0,0,0,0,0,0,0,0,0,0
Stenocatanops exinsula,30968,0,0,0,0,0,0,0,0,0,0,0,0
Valanga nigricornis,30968,0,0,0,0,0,0,0,0,0,0,0,0
Austracris guttulosa,30968,0,0,0,0,0,0,0,0,0,0,0,0
Blattodea,54364,13591,0,0,0,0,0,0,0,0,0,0,0
Isoptera,940,0,0,0,0,0,0,0,0,0,0,0,0
Heteroptera,161833,0,0,0,0,0,0,0,0,0,0,0,0
Trox sp.,41018,0,0,0,0,0,0,0,0,0,0,0,0
Scarabidae indet,41018,0,0,0,0,0,0,0,0,0,0,0,0
Coleoptera (other),52842,155879,77528,88028,70459,21624,577,0,0,0,0,0,0
Diptera,33700,110154,203660,131354,28344,3536,122,0,0,0,0,0,0
Hymenoptera,53832,86083,91674,100942,76261,24727,1044,0,0,0,0,0,0
Lepidoptera,16479,0,0,0,0,0,0,0,0,0,0,0,0
Araneidae,0,156591,139846,73320,49241,18958,554,0,0,0,0,0,0
Brachyura,15,15,0,0,0,0,0,0,0,0,0,0,0
Isopoda,12128,3032,0,0,0,0,0,0,0,0,0,0,0
Teleostei,11,231,297,330,616,803,396,11,0,0,0,0,0
Anura,84,1764,6762,13524,22008,23100,11760,420,0,0,0,0,0
Gekko gekko,0,3266,6248,9514,18744,23430,13490,497,0,0,0,0,0
Hemidactylus frenatus,71,3266,9727,17466,30530,35145,18318,639,0,0,0,0,0
Hemidactylus platyurus,0,3266,9727,17466,30530,35145,18318,639,0,0,0,0,0
Lepidodactylus intermedius,0,3266,6248,9514,18744,23430,13490,497,0,0,0,0,0
Sphenomorphus melanopogon,0,4400,9360,20400,30480,30000,13680,480,0,0,0,0,0
Trimeresurus insularis,0,54,1254,3363,6405,11181,14646,10953,3375,114,0,0,0
Coelognathus subradiatus,0,234,5135,11141,19994,34528,39520,20670,741,0,0,0,0
Dendrelaphis pictus,0,39,3653,9464,17381,29809,33475,17511,624,0,0,0,0
Naja sputatrix,0,54,1254,3363,6405,11181,14646,10953,3375,114,0,0,0
Daboia siamensis,0,54,1254,3363,6405,11181,14646,10953,3375,114,0,0,0
Eretmochelys imbricata,4,20,108,108,120,224,292,144,4,0,0,0,0
Megapodius reinwardt,16,184,684,1500,3104,4612,4280,1824,64,0,0,0,0
Gallus varius,12,168,412,3292,7584,13316,21440,23148,11772,420,0,0,0
Geopelia maugeus,10,0,0,0,0,0,0,0,0,0,0,0,0
Ducula aenea,10,0,0,0,0,0,0,0,0,0,0,0,0
Corvus macrorhynchos,5,39,142,159,257,436,501,244,9,0,0,0,0
Haliastur indus,3,87,1287,5490,11385,20109,29742,27867,12186,429,0,0,0
Icthyophaga leucogaster,1,22,236,1312,2760,4882,7985,8546,4262,152,0,0,0
Crocidura sp.,0,384,744,1432,2296,2560,1192,40,0,0,0,0,0
Hipposideros diadema,0,220,460,895,1435,1600,745,25,0,0,0,0,0
Pteropus vampyrus,6,0,0,0,0,0,0,0,0,0,0,0,0
Mus musculus,175,1330,1505,2345,4235,5425,2835,105,0,0,0,0,0
Rattus sp.,165,1254,1419,2211,3993,5115,2673,99,0,0,0,0,0
Komodomys rintjanus,165,1254,1419,2211,3993,5115,2673,99,0,0,0,0,0
Macaca fascicularis,6,106,90,134,242,310,162,6,0,0,0,0,0
Paradoxurus musangus,9,153,1356,3249,6144,10689,14064,10563,3360,114,0,0,0
?Arctogalidia sp.,3,150,1353,3249,6144,10689,14064,10563,3360,114,0,0,0
Sus scrofa,8,56,140,1940,4476,8038,13654,15354,8010,286,0,0,0
Cervus timorensis,6,0,0,0,0,0,0,0,0,0,0,0,0
Bubalis bubalis,4,0,0,0,0,0,0,0,0,0,0,0,0
Varanus komodoensis Y,0,575,6600,14925,26775,46050,51525,26700,950,0,0,0,0
Varanus komodoensis J,2,122,1632,9530,24852,47558,79156,99520,75252,25560,876,0,0
Varanus komodoensis S,1,49,601,4914,16799,36148,64830,94880,95018,54411,13361,438,0
Varanus komodoensis A,1,22,307,2097,12538,35357,70481,119880,159667,139647,67439,13799,438
